OrderDate;Year;Month;YearMonth;Quarter;YearQtr;Week
3/28/2011;2011;Mar;mrt-2011;Q1;2011-Q1;13
4/9/2013;2013;Apr;apr-2013;Q2;2013-Q2;15
4/26/2012;2012;Apr;apr-2012;Q2;2012-Q2;17
4/29/2012;2012;Apr;apr-2012;Q2;2012-Q2;17
6/24/2012;2012;Jun;jun-2012;Q2;2012-Q2;25
3/24/2012;2012;Mar;mrt-2012;Q1;2012-Q1;12
3/25/2012;2012;Mar;mrt-2012;Q1;2012-Q1;12
7/29/2012;2012;Jul;jul-2012;Q3;2012-Q3;30
3/14/2012;2012;Mar;mrt-2012;Q1;2012-Q1;11
6/17/2012;2012;Jun;jun-2012;Q2;2012-Q2;24
11/19/2012;2012;Nov;nov-2012;Q4;2012-Q4;47
4/13/2012;2012;Apr;apr-2012;Q2;2012-Q2;15
7/12/2012;2012;Jul;jul-2012;Q3;2012-Q3;28
4/16/2012;2012;Apr;apr-2012;Q2;2012-Q2;16
3/19/2012;2012;Mar;mrt-2012;Q1;2012-Q1;12
6/18/2013;2013;Jun;jun-2013;Q2;2013-Q2;25
2/23/2012;2012;Feb;feb-2012;Q1;2012-Q1;8
1/7/2012;2012;Jan;jan-2012;Q1;2012-Q1;1
3/18/2012;2012;Mar;mrt-2012;Q1;2012-Q1;11
5/21/2013;2013;May;mei-2013;Q2;2013-Q2;21
12/16/2012;2012;Dec;dec-2012;Q4;2012-Q4;50
12/20/2011;2011;Dec;dec-2011;Q4;2011-Q4;51
11/18/2011;2011;Nov;nov-2011;Q4;2011-Q4;46
1/15/2012;2012;Jan;jan-2012;Q1;2012-Q1;2
5/8/2013;2013;May;mei-2013;Q2;2013-Q2;19
9/5/2012;2012;Sep;sep-2012;Q3;2012-Q3;36
8/3/2012;2012;Aug;aug-2012;Q3;2012-Q3;31
3/5/2013;2013;Mar;mrt-2013;Q1;2013-Q1;10
2/21/2013;2013;Feb;feb-2013;Q1;2013-Q1;8
3/6/2012;2012;Mar;mrt-2012;Q1;2012-Q1;10
3/21/2013;2013;Mar;mrt-2013;Q1;2013-Q1;12
3/25/2013;2013;Mar;mrt-2013;Q1;2013-Q1;13
3/29/2012;2012;Mar;mrt-2012;Q1;2012-Q1;13
2/21/2012;2012;Feb;feb-2012;Q1;2012-Q1;8
1/17/2013;2013;Jan;jan-2013;Q1;2013-Q1;3
5/16/2013;2013;May;mei-2013;Q2;2013-Q2;20
7/8/2012;2012;Jul;jul-2012;Q3;2012-Q3;27
3/6/2013;2013;Mar;mrt-2013;Q1;2013-Q1;10
9/12/2012;2012;Sep;sep-2012;Q3;2012-Q3;37
6/23/2013;2013;Jun;jun-2013;Q2;2013-Q2;25
1/24/2012;2012;Jan;jan-2012;Q1;2012-Q1;4
10/14/2011;2011;Oct;okt-2011;Q4;2011-Q4;41
6/28/2012;2012;Jun;jun-2012;Q2;2012-Q2;26
2/1/2012;2012;Feb;feb-2012;Q1;2012-Q1;5
6/13/2013;2013;Jun;jun-2013;Q2;2013-Q2;24
12/16/2011;2011;Dec;dec-2011;Q4;2011-Q4;50
8/22/2011;2011;Aug;aug-2011;Q3;2011-Q3;34
3/17/2013;2013;Mar;mrt-2013;Q1;2013-Q1;11
6/26/2013;2013;Jun;jun-2013;Q2;2013-Q2;26
9/30/2012;2012;Sep;sep-2012;Q3;2012-Q3;39
11/2/2012;2012;Nov;nov-2012;Q4;2012-Q4;44
7/31/2012;2012;Jul;jul-2012;Q3;2012-Q3;31
11/15/2011;2011;Nov;nov-2011;Q4;2011-Q4;46
4/3/2013;2013;Apr;apr-2013;Q2;2013-Q2;14
11/2/2011;2011;Nov;nov-2011;Q4;2011-Q4;44
10/10/2011;2011;Oct;okt-2011;Q4;2011-Q4;41
8/7/2011;2011;Aug;aug-2011;Q3;2011-Q3;31
12/13/2012;2012;Dec;dec-2012;Q4;2012-Q4;50
10/13/2011;2011;Oct;okt-2011;Q4;2011-Q4;41
5/1/2013;2013;May;mei-2013;Q2;2013-Q2;18
7/31/2011;2011;Jul;jul-2011;Q3;2011-Q3;30
3/17/2012;2012;Mar;mrt-2012;Q1;2012-Q1;11
6/8/2013;2013;Jun;jun-2013;Q2;2013-Q2;23
6/30/2012;2012;Jun;jun-2012;Q2;2012-Q2;26
6/9/2012;2012;Jun;jun-2012;Q2;2012-Q2;23
6/14/2012;2012;Jun;jun-2012;Q2;2012-Q2;24
6/20/2012;2012;Jun;jun-2012;Q2;2012-Q2;25
6/27/2012;2012;Jun;jun-2012;Q2;2012-Q2;26
5/3/2012;2012;May;mei-2012;Q2;2012-Q2;18
7/28/2011;2011;Jul;jul-2011;Q3;2011-Q3;30
9/9/2011;2011;Sep;sep-2011;Q3;2011-Q3;36
9/10/2011;2011;Sep;sep-2011;Q3;2011-Q3;36
5/31/2012;2012;May;mei-2012;Q2;2012-Q2;22
5/15/2012;2012;May;mei-2012;Q2;2012-Q2;20
6/29/2013;2013;Jun;jun-2013;Q2;2013-Q2;26
4/11/2013;2013;Apr;apr-2013;Q2;2013-Q2;15
11/10/2012;2012;Nov;nov-2012;Q4;2012-Q4;45
4/22/2012;2012;Apr;apr-2012;Q2;2012-Q2;16
8/27/2012;2012;Aug;aug-2012;Q3;2012-Q3;35
6/7/2012;2012;Jun;jun-2012;Q2;2012-Q2;23
5/3/2013;2013;May;mei-2013;Q2;2013-Q2;18
6/18/2012;2012;Jun;jun-2012;Q2;2012-Q2;25
5/22/2013;2013;May;mei-2013;Q2;2013-Q2;21
6/8/2012;2012;Jun;jun-2012;Q2;2012-Q2;23
7/1/2012;2012;Jul;jul-2012;Q3;2012-Q3;26
5/29/2013;2013;May;mei-2013;Q2;2013-Q2;22
5/16/2012;2012;May;mei-2012;Q2;2012-Q2;20
1/21/2013;2013;Jan;jan-2013;Q1;2013-Q1;4
12/26/2012;2012;Dec;dec-2012;Q4;2012-Q4;52
10/13/2012;2012;Oct;okt-2012;Q4;2012-Q4;41
2/25/2013;2013;Feb;feb-2013;Q1;2013-Q1;9
6/28/2011;2011;Jun;jun-2011;Q2;2011-Q2;26
2/16/2012;2012;Feb;feb-2012;Q1;2012-Q1;7
6/21/2011;2011;Jun;jun-2011;Q2;2011-Q2;25
4/18/2013;2013;Apr;apr-2013;Q2;2013-Q2;16
8/15/2011;2011;Aug;aug-2011;Q3;2011-Q3;33
5/14/2011;2011;May;mei-2011;Q2;2011-Q2;19
4/17/2011;2011;Apr;apr-2011;Q2;2011-Q2;15
5/6/2012;2012;May;mei-2012;Q2;2012-Q2;18
3/27/2012;2012;Mar;mrt-2012;Q1;2012-Q1;13
8/1/2012;2012;Aug;aug-2012;Q3;2012-Q3;31
2/28/2012;2012;Feb;feb-2012;Q1;2012-Q1;9
1/18/2013;2013;Jan;jan-2013;Q1;2013-Q1;3
2/8/2012;2012;Feb;feb-2012;Q1;2012-Q1;6
2/19/2013;2013;Feb;feb-2013;Q1;2013-Q1;8
1/26/2012;2012;Jan;jan-2012;Q1;2012-Q1;4
2/3/2012;2012;Feb;feb-2012;Q1;2012-Q1;5
1/25/2012;2012;Jan;jan-2012;Q1;2012-Q1;4
1/12/2012;2012;Jan;jan-2012;Q1;2012-Q1;2
3/28/2013;2013;Mar;mrt-2013;Q1;2013-Q1;13
1/18/2012;2012;Jan;jan-2012;Q1;2012-Q1;3
12/6/2011;2011;Dec;dec-2011;Q4;2011-Q4;49
12/7/2011;2011;Dec;dec-2011;Q4;2011-Q4;49
6/28/2013;2013;Jun;jun-2013;Q2;2013-Q2;26
12/2/2011;2011;Dec;dec-2011;Q4;2011-Q4;48
11/23/2011;2011;Nov;nov-2011;Q4;2011-Q4;47
11/17/2011;2011;Nov;nov-2011;Q4;2011-Q4;46
11/24/2011;2011;Nov;nov-2011;Q4;2011-Q4;47
7/14/2011;2011;Jul;jul-2011;Q3;2011-Q3;28
10/9/2011;2011;Oct;okt-2011;Q4;2011-Q4;40
10/4/2011;2011;Oct;okt-2011;Q4;2011-Q4;40
9/21/2011;2011;Sep;sep-2011;Q3;2011-Q3;38
9/4/2011;2011;Sep;sep-2011;Q3;2011-Q3;35
8/30/2011;2011;Aug;aug-2011;Q3;2011-Q3;35
8/8/2012;2012;Aug;aug-2012;Q3;2012-Q3;32
5/10/2013;2013;May;mei-2013;Q2;2013-Q2;19
8/4/2011;2011;Aug;aug-2011;Q3;2011-Q3;31
5/8/2012;2012;May;mei-2012;Q2;2012-Q2;19
3/3/2013;2013;Mar;mrt-2013;Q1;2013-Q1;9
12/28/2012;2012;Dec;dec-2012;Q4;2012-Q4;52
4/28/2012;2012;Apr;apr-2012;Q2;2012-Q2;17
4/11/2012;2012;Apr;apr-2012;Q2;2012-Q2;15
4/17/2012;2012;Apr;apr-2012;Q2;2012-Q2;16
3/30/2011;2011;Mar;mrt-2011;Q1;2011-Q1;13
2/10/2011;2011;Feb;feb-2011;Q1;2011-Q1;6
6/3/2013;2013;Jun;jun-2013;Q2;2013-Q2;23
6/30/2011;2011;Jun;jun-2011;Q2;2011-Q2;26
1/19/2011;2011;Jan;jan-2011;Q1;2011-Q1;3
4/25/2012;2012;Apr;apr-2012;Q2;2012-Q2;17
4/19/2012;2012;Apr;apr-2012;Q2;2012-Q2;16
6/10/2011;2011;Jun;jun-2011;Q2;2011-Q2;23
12/31/2011;2011;Dec;dec-2011;Q4;2011-Q4;52
1/20/2011;2011;Jan;jan-2011;Q1;2011-Q1;3
12/5/2012;2012;Dec;dec-2012;Q4;2012-Q4;49
6/14/2011;2011;Jun;jun-2011;Q2;2011-Q2;24
1/14/2011;2011;Jan;jan-2011;Q1;2011-Q1;2
5/21/2011;2011;May;mei-2011;Q2;2011-Q2;20
11/29/2011;2011;Nov;nov-2011;Q4;2011-Q4;48
5/18/2011;2011;May;mei-2011;Q2;2011-Q2;20
11/8/2011;2011;Nov;nov-2011;Q4;2011-Q4;45
1/22/2011;2011;Jan;jan-2011;Q1;2011-Q1;3
6/27/2013;2013;Jun;jun-2013;Q2;2013-Q2;26
8/23/2012;2012;Aug;aug-2012;Q3;2012-Q3;34
5/25/2013;2013;May;mei-2013;Q2;2013-Q2;21
3/25/2011;2011;Mar;mrt-2011;Q1;2011-Q1;12
6/10/2013;2013;Jun;jun-2013;Q2;2013-Q2;24
3/20/2011;2011;Mar;mrt-2011;Q1;2011-Q1;11
2/7/2011;2011;Feb;feb-2011;Q1;2011-Q1;6
8/30/2012;2012;Aug;aug-2012;Q3;2012-Q3;35
1/25/2011;2011;Jan;jan-2011;Q1;2011-Q1;4
2/1/2011;2011;Feb;feb-2011;Q1;2011-Q1;5
10/11/2011;2011;Oct;okt-2011;Q4;2011-Q4;41
3/31/2012;2012;Mar;mrt-2012;Q1;2012-Q1;13
1/26/2011;2011;Jan;jan-2011;Q1;2011-Q1;4
8/15/2012;2012;Aug;aug-2012;Q3;2012-Q3;33
8/21/2012;2012;Aug;aug-2012;Q3;2012-Q3;34
8/9/2012;2012;Aug;aug-2012;Q3;2012-Q3;32
4/1/2013;2013;Apr;apr-2013;Q2;2013-Q2;14
9/7/2011;2011;Sep;sep-2011;Q3;2011-Q3;36
6/22/2012;2012;Jun;jun-2012;Q2;2012-Q2;25
4/30/2013;2013;Apr;apr-2013;Q2;2013-Q2;18
6/5/2012;2012;Jun;jun-2012;Q2;2012-Q2;23
6/4/2012;2012;Jun;jun-2012;Q2;2012-Q2;23
5/17/2012;2012;May;mei-2012;Q2;2012-Q2;20
4/7/2012;2012;Apr;apr-2012;Q2;2012-Q2;14
4/10/2012;2012;Apr;apr-2012;Q2;2012-Q2;15
2/13/2013;2013;Feb;feb-2013;Q1;2013-Q1;7
3/7/2012;2012;Mar;mrt-2012;Q1;2012-Q1;10
3/8/2012;2012;Mar;mrt-2012;Q1;2012-Q1;10
2/29/2012;2012;Feb;feb-2012;Q1;2012-Q1;9
6/4/2013;2013;Jun;jun-2013;Q2;2013-Q2;23
3/4/2012;2012;Mar;mrt-2012;Q1;2012-Q1;9
2/6/2012;2012;Feb;feb-2012;Q1;2012-Q1;6
11/14/2012;2012;Nov;nov-2012;Q4;2012-Q4;46
5/31/2013;2013;May;mei-2013;Q2;2013-Q2;22
3/22/2012;2012;Mar;mrt-2012;Q1;2012-Q1;12
3/10/2012;2012;Mar;mrt-2012;Q1;2012-Q1;10
12/5/2011;2011;Dec;dec-2011;Q4;2011-Q4;49
10/9/2012;2012;Oct;okt-2012;Q4;2012-Q4;41
3/26/2012;2012;Mar;mrt-2012;Q1;2012-Q1;13
3/5/2012;2012;Mar;mrt-2012;Q1;2012-Q1;10
3/13/2012;2012;Mar;mrt-2012;Q1;2012-Q1;11
2/26/2013;2013;Feb;feb-2013;Q1;2013-Q1;9
9/23/2011;2011;Sep;sep-2011;Q3;2011-Q3;38
2/9/2011;2011;Feb;feb-2011;Q1;2011-Q1;6
5/18/2013;2013;May;mei-2013;Q2;2013-Q2;20
10/6/2011;2011;Oct;okt-2011;Q4;2011-Q4;40
2/9/2012;2012;Feb;feb-2012;Q1;2012-Q1;6
7/1/2013;2013;Jul;jul-2013;Q3;2013-Q3;27
10/3/2012;2012;Oct;okt-2012;Q4;2012-Q4;40
8/28/2011;2011;Aug;aug-2011;Q3;2011-Q3;34
7/30/2011;2011;Jul;jul-2011;Q3;2011-Q3;30
4/25/2013;2013;Apr;apr-2013;Q2;2013-Q2;17
2/14/2012;2012;Feb;feb-2012;Q1;2012-Q1;7
1/30/2012;2012;Jan;jan-2012;Q1;2012-Q1;5
1/11/2012;2012;Jan;jan-2012;Q1;2012-Q1;2
6/22/2013;2013;Jun;jun-2013;Q2;2013-Q2;25
1/10/2013;2013;Jan;jan-2013;Q1;2013-Q1;2
12/14/2012;2012;Dec;dec-2012;Q4;2012-Q4;50
4/23/2012;2012;Apr;apr-2012;Q2;2012-Q2;17
3/3/2012;2012;Mar;mrt-2012;Q1;2012-Q1;9
3/16/2012;2012;Mar;mrt-2012;Q1;2012-Q1;11
8/6/2012;2012;Aug;aug-2012;Q3;2012-Q3;32
1/27/2012;2012;Jan;jan-2012;Q1;2012-Q1;4
5/5/2013;2013;May;mei-2013;Q2;2013-Q2;18
7/22/2011;2011;Jul;jul-2011;Q3;2011-Q3;29
12/14/2011;2011;Dec;dec-2011;Q4;2011-Q4;50
12/22/2011;2011;Dec;dec-2011;Q4;2011-Q4;51
2/11/2013;2013;Feb;feb-2013;Q1;2013-Q1;7
11/7/2011;2011;Nov;nov-2011;Q4;2011-Q4;45
11/20/2012;2012;Nov;nov-2012;Q4;2012-Q4;47
11/27/2011;2011;Nov;nov-2011;Q4;2011-Q4;47
10/8/2012;2012;Oct;okt-2012;Q4;2012-Q4;41
3/18/2013;2013;Mar;mrt-2013;Q1;2013-Q1;12
3/10/2013;2013;Mar;mrt-2013;Q1;2013-Q1;10
12/19/2012;2012;Dec;dec-2012;Q4;2012-Q4;51
4/29/2013;2013;Apr;apr-2013;Q2;2013-Q2;18
11/16/2011;2011;Nov;nov-2011;Q4;2011-Q4;46
1/9/2012;2012;Jan;jan-2012;Q1;2012-Q1;2
1/23/2012;2012;Jan;jan-2012;Q1;2012-Q1;4
1/28/2012;2012;Jan;jan-2012;Q1;2012-Q1;4
4/26/2013;2013;Apr;apr-2013;Q2;2013-Q2;17
7/26/2011;2011;Jul;jul-2011;Q3;2011-Q3;30
7/18/2011;2011;Jul;jul-2011;Q3;2011-Q3;29
7/7/2011;2011;Jul;jul-2011;Q3;2011-Q3;27
6/30/2013;2013;Jun;jun-2013;Q2;2013-Q2;26
10/24/2012;2012;Oct;okt-2012;Q4;2012-Q4;43
12/21/2011;2011;Dec;dec-2011;Q4;2011-Q4;51
6/3/2011;2011;Jun;jun-2011;Q2;2011-Q2;22
6/26/2012;2012;Jun;jun-2012;Q2;2012-Q2;26
2/18/2013;2013;Feb;feb-2013;Q1;2013-Q1;8
5/20/2011;2011;May;mei-2011;Q2;2011-Q2;20
11/6/2011;2011;Nov;nov-2011;Q4;2011-Q4;44
2/7/2013;2013;Feb;feb-2013;Q1;2013-Q1;6
10/12/2011;2011;Oct;okt-2011;Q4;2011-Q4;41
9/29/2011;2011;Sep;sep-2011;Q3;2011-Q3;39
9/15/2011;2011;Sep;sep-2011;Q3;2011-Q3;37
11/13/2012;2012;Nov;nov-2012;Q4;2012-Q4;46
9/8/2011;2011;Sep;sep-2011;Q3;2011-Q3;36
11/8/2012;2012;Nov;nov-2012;Q4;2012-Q4;45
8/27/2011;2011;Aug;aug-2011;Q3;2011-Q3;34
8/5/2011;2011;Aug;aug-2011;Q3;2011-Q3;31
10/5/2012;2012;Oct;okt-2012;Q4;2012-Q4;40
1/22/2013;2013;Jan;jan-2013;Q1;2013-Q1;4
8/24/2011;2011;Aug;aug-2011;Q3;2011-Q3;34
8/23/2011;2011;Aug;aug-2011;Q3;2011-Q3;34
8/31/2011;2011;Aug;aug-2011;Q3;2011-Q3;35
11/5/2012;2012;Nov;nov-2012;Q4;2012-Q4;45
8/18/2011;2011;Aug;aug-2011;Q3;2011-Q3;33
8/21/2011;2011;Aug;aug-2011;Q3;2011-Q3;33
2/14/2013;2013;Feb;feb-2013;Q1;2013-Q1;7
8/2/2011;2011;Aug;aug-2011;Q3;2011-Q3;31
10/19/2012;2012;Oct;okt-2012;Q4;2012-Q4;42
8/1/2011;2011;Aug;aug-2011;Q3;2011-Q3;31
9/24/2012;2012;Sep;sep-2012;Q3;2012-Q3;39
12/27/2011;2011;Dec;dec-2011;Q4;2011-Q4;52
12/29/2011;2011;Dec;dec-2011;Q4;2011-Q4;52
12/19/2011;2011;Dec;dec-2011;Q4;2011-Q4;51
1/2/2012;2012;Jan;jan-2012;Q1;2012-Q1;1
7/24/2011;2011;Jul;jul-2011;Q3;2011-Q3;29
7/6/2011;2011;Jul;jul-2011;Q3;2011-Q3;27
10/23/2011;2011;Oct;okt-2011;Q4;2011-Q4;42
6/7/2013;2013;Jun;jun-2013;Q2;2013-Q2;23
10/25/2011;2011;Oct;okt-2011;Q4;2011-Q4;43
7/5/2011;2011;Jul;jul-2011;Q3;2011-Q3;27
1/15/2013;2013;Jan;jan-2013;Q1;2013-Q1;3
7/25/2011;2011;Jul;jul-2011;Q3;2011-Q3;30
10/26/2011;2011;Oct;okt-2011;Q4;2011-Q4;43
1/4/2013;2013;Jan;jan-2013;Q1;2013-Q1;1
7/4/2011;2011;Jul;jul-2011;Q3;2011-Q3;27
7/16/2011;2011;Jul;jul-2011;Q3;2011-Q3;28
7/21/2011;2011;Jul;jul-2011;Q3;2011-Q3;29
6/17/2011;2011;Jun;jun-2011;Q2;2011-Q2;24
6/20/2011;2011;Jun;jun-2011;Q2;2011-Q2;25
4/8/2013;2013;Apr;apr-2013;Q2;2013-Q2;15
5/11/2012;2012;May;mei-2012;Q2;2012-Q2;19
11/1/2012;2012;Nov;nov-2012;Q4;2012-Q4;44
5/21/2012;2012;May;mei-2012;Q2;2012-Q2;21
4/6/2012;2012;Apr;apr-2012;Q2;2012-Q2;14
4/3/2012;2012;Apr;apr-2012;Q2;2012-Q2;14
6/25/2012;2012;Jun;jun-2012;Q2;2012-Q2;26
5/31/2011;2011;May;mei-2011;Q2;2011-Q2;22
5/10/2011;2011;May;mei-2011;Q2;2011-Q2;19
5/29/2011;2011;May;mei-2011;Q2;2011-Q2;21
1/14/2013;2013;Jan;jan-2013;Q1;2013-Q1;3
6/25/2011;2011;Jun;jun-2011;Q2;2011-Q2;25
6/24/2011;2011;Jun;jun-2011;Q2;2011-Q2;25
6/11/2011;2011;Jun;jun-2011;Q2;2011-Q2;23
6/13/2011;2011;Jun;jun-2011;Q2;2011-Q2;24
6/27/2011;2011;Jun;jun-2011;Q2;2011-Q2;26
6/22/2011;2011;Jun;jun-2011;Q2;2011-Q2;25
4/10/2011;2011;Apr;apr-2011;Q2;2011-Q2;14
4/25/2011;2011;Apr;apr-2011;Q2;2011-Q2;17
4/15/2012;2012;Apr;apr-2012;Q2;2012-Q2;15
11/18/2012;2012;Nov;nov-2012;Q4;2012-Q4;46
9/17/2011;2011;Sep;sep-2011;Q3;2011-Q3;37
4/12/2013;2013;Apr;apr-2013;Q2;2013-Q2;15
9/20/2011;2011;Sep;sep-2011;Q3;2011-Q3;38
8/26/2011;2011;Aug;aug-2011;Q3;2011-Q3;34
8/6/2011;2011;Aug;aug-2011;Q3;2011-Q3;31
3/15/2012;2012;Mar;mrt-2012;Q1;2012-Q1;11
10/16/2012;2012;Oct;okt-2012;Q4;2012-Q4;42
3/28/2012;2012;Mar;mrt-2012;Q1;2012-Q1;13
3/20/2012;2012;Mar;mrt-2012;Q1;2012-Q1;12
4/16/2011;2011;Apr;apr-2011;Q2;2011-Q2;15
2/7/2012;2012;Feb;feb-2012;Q1;2012-Q1;6
1/8/2013;2013;Jan;jan-2013;Q1;2013-Q1;2
2/13/2012;2012;Feb;feb-2012;Q1;2012-Q1;7
9/1/2011;2011;Sep;sep-2011;Q3;2011-Q3;35
2/15/2011;2011;Feb;feb-2011;Q1;2011-Q1;7
8/20/2012;2012;Aug;aug-2012;Q3;2012-Q3;34
11/27/2012;2012;Nov;nov-2012;Q4;2012-Q4;48
2/3/2011;2011;Feb;feb-2011;Q1;2011-Q1;5
1/26/2013;2013;Jan;jan-2013;Q1;2013-Q1;4
1/5/2011;2011;Jan;jan-2011;Q1;2011-Q1;1
1/14/2012;2012;Jan;jan-2012;Q1;2012-Q1;2
11/11/2012;2012;Nov;nov-2012;Q4;2012-Q4;45
2/18/2012;2012;Feb;feb-2012;Q1;2012-Q1;7
6/12/2011;2011;Jun;jun-2011;Q2;2011-Q2;23
6/4/2011;2011;Jun;jun-2011;Q2;2011-Q2;22
6/7/2011;2011;Jun;jun-2011;Q2;2011-Q2;23
6/8/2011;2011;Jun;jun-2011;Q2;2011-Q2;23
6/23/2011;2011;Jun;jun-2011;Q2;2011-Q2;25
2/26/2012;2012;Feb;feb-2012;Q1;2012-Q1;8
6/2/2012;2012;Jun;jun-2012;Q2;2012-Q2;22
11/28/2012;2012;Nov;nov-2012;Q4;2012-Q4;48
7/30/2012;2012;Jul;jul-2012;Q3;2012-Q3;31
2/19/2012;2012;Feb;feb-2012;Q1;2012-Q1;7
12/23/2011;2011;Dec;dec-2011;Q4;2011-Q4;51
2/10/2012;2012;Feb;feb-2012;Q1;2012-Q1;6
12/7/2012;2012;Dec;dec-2012;Q4;2012-Q4;49
11/12/2012;2012;Nov;nov-2012;Q4;2012-Q4;46
8/12/2012;2012;Aug;aug-2012;Q3;2012-Q3;32
3/29/2013;2013;Mar;mrt-2013;Q1;2013-Q1;13
10/1/2012;2012;Oct;okt-2012;Q4;2012-Q4;40
10/18/2012;2012;Oct;okt-2012;Q4;2012-Q4;42
7/9/2011;2011;Jul;jul-2011;Q3;2011-Q3;27
11/9/2012;2012;Nov;nov-2012;Q4;2012-Q4;45
2/5/2013;2013;Feb;feb-2013;Q1;2013-Q1;6
12/8/2011;2011;Dec;dec-2011;Q4;2011-Q4;49
10/7/2012;2012;Oct;okt-2012;Q4;2012-Q4;40
11/12/2011;2011;Nov;nov-2011;Q4;2011-Q4;45
2/24/2012;2012;Feb;feb-2012;Q1;2012-Q1;8
11/26/2012;2012;Nov;nov-2012;Q4;2012-Q4;48
10/17/2011;2011;Oct;okt-2011;Q4;2011-Q4;42
10/18/2011;2011;Oct;okt-2011;Q4;2011-Q4;42
1/4/2012;2012;Jan;jan-2012;Q1;2012-Q1;1
10/1/2011;2011;Oct;okt-2011;Q4;2011-Q4;39
6/9/2011;2011;Jun;jun-2011;Q2;2011-Q2;23
9/26/2011;2011;Sep;sep-2011;Q3;2011-Q3;39
7/2/2011;2011;Jul;jul-2011;Q3;2011-Q3;26
5/17/2013;2013;May;mei-2013;Q2;2013-Q2;20
6/18/2011;2011;Jun;jun-2011;Q2;2011-Q2;24
6/29/2011;2011;Jun;jun-2011;Q2;2011-Q2;26
5/28/2011;2011;May;mei-2011;Q2;2011-Q2;21
5/11/2011;2011;May;mei-2011;Q2;2011-Q2;19
9/9/2012;2012;Sep;sep-2012;Q3;2012-Q3;36
5/4/2011;2011;May;mei-2011;Q2;2011-Q2;18
1/3/2013;2013;Jan;jan-2013;Q1;2013-Q1;1
9/19/2012;2012;Sep;sep-2012;Q3;2012-Q3;38
11/11/2011;2011;Nov;nov-2011;Q4;2011-Q4;45
11/28/2011;2011;Nov;nov-2011;Q4;2011-Q4;48
5/9/2011;2011;May;mei-2011;Q2;2011-Q2;19
12/4/2012;2012;Dec;dec-2012;Q4;2012-Q4;49
5/12/2011;2011;May;mei-2011;Q2;2011-Q2;19
5/13/2011;2011;May;mei-2011;Q2;2011-Q2;19
5/22/2011;2011;May;mei-2011;Q2;2011-Q2;20
5/15/2011;2011;May;mei-2011;Q2;2011-Q2;19
5/27/2011;2011;May;mei-2011;Q2;2011-Q2;21
5/6/2011;2011;May;mei-2011;Q2;2011-Q2;18
4/23/2011;2011;Apr;apr-2011;Q2;2011-Q2;16
2/9/2013;2013;Feb;feb-2013;Q1;2013-Q1;6
9/29/2012;2012;Sep;sep-2012;Q3;2012-Q3;39
4/27/2011;2011;Apr;apr-2011;Q2;2011-Q2;17
5/5/2011;2011;May;mei-2011;Q2;2011-Q2;18
12/21/2012;2012;Dec;dec-2012;Q4;2012-Q4;51
9/13/2012;2012;Sep;sep-2012;Q3;2012-Q3;37
5/1/2011;2011;May;mei-2011;Q2;2011-Q2;17
4/13/2011;2011;Apr;apr-2011;Q2;2011-Q2;15
3/22/2011;2011;Mar;mrt-2011;Q1;2011-Q1;12
1/13/2013;2013;Jan;jan-2013;Q1;2013-Q1;2
8/28/2012;2012;Aug;aug-2012;Q3;2012-Q3;35
5/23/2013;2013;May;mei-2013;Q2;2013-Q2;21
4/7/2011;2011;Apr;apr-2011;Q2;2011-Q2;14
4/14/2011;2011;Apr;apr-2011;Q2;2011-Q2;15
4/20/2011;2011;Apr;apr-2011;Q2;2011-Q2;16
6/1/2013;2013;Jun;jun-2013;Q2;2013-Q2;22
11/24/2012;2012;Nov;nov-2012;Q4;2012-Q4;47
4/21/2011;2011;Apr;apr-2011;Q2;2011-Q2;16
4/18/2011;2011;Apr;apr-2011;Q2;2011-Q2;16
4/30/2011;2011;Apr;apr-2011;Q2;2011-Q2;17
2/6/2011;2011;Feb;feb-2011;Q1;2011-Q1;5
1/11/2011;2011;Jan;jan-2011;Q1;2011-Q1;2
4/29/2011;2011;Apr;apr-2011;Q2;2011-Q2;17
9/10/2012;2012;Sep;sep-2012;Q3;2012-Q3;37
2/6/2013;2013;Feb;feb-2013;Q1;2013-Q1;6
6/17/2013;2013;Jun;jun-2013;Q2;2013-Q2;25
12/18/2012;2012;Dec;dec-2012;Q4;2012-Q4;51
9/23/2012;2012;Sep;sep-2012;Q3;2012-Q3;38
4/5/2011;2011;Apr;apr-2011;Q2;2011-Q2;14
4/22/2011;2011;Apr;apr-2011;Q2;2011-Q2;16
3/26/2011;2011;Mar;mrt-2011;Q1;2011-Q1;12
8/13/2012;2012;Aug;aug-2012;Q3;2012-Q3;33
9/11/2011;2011;Sep;sep-2011;Q3;2011-Q3;36
7/23/2011;2011;Jul;jul-2011;Q3;2011-Q3;29
6/3/2012;2012;Jun;jun-2012;Q2;2012-Q2;22
3/29/2011;2011;Mar;mrt-2011;Q1;2011-Q1;13
3/7/2011;2011;Mar;mrt-2011;Q1;2011-Q1;10
3/23/2011;2011;Mar;mrt-2011;Q1;2011-Q1;12
3/4/2011;2011;Mar;mrt-2011;Q1;2011-Q1;9
3/17/2011;2011;Mar;mrt-2011;Q1;2011-Q1;11
1/29/2013;2013;Jan;jan-2013;Q1;2013-Q1;5
3/16/2013;2013;Mar;mrt-2013;Q1;2013-Q1;11
3/19/2011;2011;Mar;mrt-2011;Q1;2011-Q1;11
